country;region;population;area;median_age;perc_urban_pop;world_share
Marshall Islands;OCEANIA;59259;180;N.A.;70%;0,00%
Martinique;LATIN AMER. & CARIB;375213;1060;47;92%;0,00%
Mauritania;SUB-SAHARAN AFRICA;4669775;1030700;20;57%;0,06%
Mauritius;SUB-SAHARAN AFRICA;1272140;2030;37;41%;0,02%
Mayotte;SUB-SAHARAN AFRICA;273905;375;20;46%;0,00%
Mexico;LATIN AMER. & CARIB;129166028;1943950;29;84%;1,65%
Micronesia;OCEANIA;115231;700;24;21%;0,00%
Moldova;C.W. OF IND. STATES;4032294;32850;38;43%;0,05%
Monaco;WESTERN EUROPE;39290;1;N.A.;N.A.;0,00%
Mongolia;ASIA (EX. NEAR EAST);3287242;1553560;28;67%;0,04%
Montenegro;WESTERN EUROPE;628080;13450;39;68%;0,01%
Montserrat;LATIN AMER. & CARIB;4993;100;N.A.;10%;0,00%
Morocco;NORTHERN AFRICA;36985624;446300;30;64%;0,47%
Mozambique;SUB-SAHARAN AFRICA;31398811;786380;18;38%;0,40%
Myanmar;ASIA (EX. NEAR EAST);54473253;653290;29;31%;0,70%
Namibia;SUB-SAHARAN AFRICA;2548663;823290;22;55%;0,03%
Nauru;OCEANIA;10836;20;N.A.;N.A.;0,00%
Nepal;ASIA (EX. NEAR EAST);29225196;143350;25;21%;0,37%
Netherlands;WESTERN EUROPE;17141544;33720;43;92%;0,22%
New Caledonia;OCEANIA;285972;18280;34;72%;0,00%
New Zealand;OCEANIA;4829021;263310;38;87%;0,06%
Nicaragua;LATIN AMER. & CARIB;6638075;120340;26;57%;0,08%
Niger;SUB-SAHARAN AFRICA;24346468;1266700;15;17%;0,31%
Nigeria;SUB-SAHARAN AFRICA;206984347;910770;18;52%;2,64%
Niue;OCEANIA;1628;260;N.A.;46%;0,00%
North Korea;ASIA (EX. NEAR EAST);25798588;120410;35;63%;0,33%
North Macedonia;ASIA (EX. NEAR EAST);2083359;25220;39;59%;0,03%
Northern Mariana Islands;OCEANIA;57619;460;N.A.;88%;0,00%
Norway;WESTERN EUROPE;5428594;365268;40;83%;0,07%
Oman;NEAR EAST;5128058;309500;31;87%;0,07%
Pakistan;ASIA (EX. NEAR EAST);221612785;770880;23;35%;2,83%
Palau;OCEANIA;18109;460;N.A.;N.A.;0,00%
Panama;LATIN AMER. & CARIB;4326296;74340;30;68%;0,06%
Papua New Guinea;OCEANIA;8975531;452860;22;13%;0,11%
Paraguay;LATIN AMER. & CARIB;7147553;397300;26;62%;0,09%
Peru;LATIN AMER. & CARIB;33050211;1280000;31;79%;0,42%
Philippines;ASIA (EX. NEAR EAST);109830324;298170;26;47%;1,41%
Poland;EASTERN EUROPE;37839255;306230;42;60%;0,49%
Portugal;WESTERN EUROPE;10191409;91590;46;66%;0,13%
Puerto Rico;LATIN AMER. & CARIB;2846860;8870;44;N.A.;0,04%
Qatar;NEAR EAST;2889284;11610;32;96%;0,04%
Reunion;SUB-SAHARAN AFRICA;896422;2500;36;100%;0,01%
Romania;EASTERN EUROPE;19214608;230170;43;55%;0,25%
Russia;C.W. OF IND. STATES;145945524;16376870;40;74%;1,87%
Rwanda;SUB-SAHARAN AFRICA;13005303;24670;20;18%;0,17%
Saint Barthelemy;LATIN AMER. & CARIB;9882;21;N.A.;0%;0,00%
